,Name,Description,Composition & Care,Old Price,New Price,Discount,Size(s),Product Link
26,blue SWEATER,An excellent piece light enough to layer with while staying comfortable,"Knit
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtp491054-blu
27,high neck knit sweater,High neck knit sweater with pocket and sleeve detailing,• Knit• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491044-nvy
28,high neck knit sweater,High neck knit sweater with pocket and sleeve detailing,• Knit• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491044-lgr
29,long sleeved blazer,v-neck long-sleeved blazer with metal buttons make perfect combo for this season,"Knit
Wash Inside Out. Use recommended detergents for colors, Iron inside out.
Please line dry in shade. Do not dry with sunlight directly","PKR 5,490","PKR 2,690",51%,"XS,S,M,L",https://outfitters.com.pk/collections/outwear-jackets/products/wtf492011-blk
30,Sweater vest,Knit sweater with v neckline and ribbing at neckline and hem,• Knit• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,490","PKR 1,690",51%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491043-lgr
31,"Two Tone ""Confident"" Sweatshirt","Crew Neck Sweatshirt featuring a two tone design, "" confident"" slogan and ribbed trims makes it the perfect example of comfort and style","48% Polyester, 52% Cotton
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491037-nvy
32,colour block hoodie,Hoodie with adjustable drawstrings and colour block design.,• Knit• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 4,490","PKR 3,090",31%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtp491055-lyl
33,colour block hoodie,Hoodie with adjustable drawstrings and colour block design.,• Knit• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 4,490","PKR 3,090",31%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtp491055-red
34,Color Block jacket,"Premium jacket with color block design, button up front, classic collar, flap chest pockets and metallic button details","Wash and medium iron inside out
Do not keep in damp state
Do not bleach and tumble dry
Dry flat and avoid direct sunlight
Dry clean, any solvent except trichloroethylene","PKR 4,990","PKR 3,490",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491001-grb
35,corduroy Trucker REGULAR FIT JACKET,"Premium black corduroy trucker jacket with Kent collar, front pockets and contrast button fastening","Corduroy
Wash and medium iron inside out
Do not keep in damp state
Do not bleach and tumble dry
Dry flat and avoid direct sunlight
Dry clean, any solvent except trichloroethylene","PKR 5,990","PKR 4,190",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491013-blk
36,corduroy Trucker REGULAR FIT JACKET,"Navy corduroy trucker jacket with Kent collar, front pockets and contrast button fastening","Corduroy
Wash and medium iron inside out
Do not keep in damp state
Do not bleach and tumble dry
Dry flat and avoid direct sunlight
Dry clean, any solvent except trichloroethylene","PKR 5,990","PKR 4,190",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491013-nvy
37,corduroy Trucker REGULAR FIT JACKET,"Olive corduroy trucker jacket with Kent collar, front pockets and contrast button fastening","Corduroy
Wash and medium iron inside out
Do not keep in damp state
Do not bleach and tumble dry
Dry flat and avoid direct sunlight
Dry clean, any solvent except trichloroethylene","PKR 5,990","PKR 4,190",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491013-olv
38,Bomber Jacket,"Premium bomber jacket with metallic zipper front, zipped side pockets and ribbed elastic hem, cuffs and collar","Wash and medium iron inside out

Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight","PKR 6,490","PKR 4,490",30%,"L,M,S,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtp491006-nvy
39,Blazer,Long sleeve blazer with front open style and drawstrings fastening at waist,"Wash and medium iron inside out
Do not keep in damp state
Do not bleach and tumble dry
Dry flat and avoid direct sunlight
Dry clean, any solvent except trichloroethylene","PKR 3,690","PKR 2,590",29%,"XS,S,M,L",https://outfitters.com.pk/collections/outwear-jackets/products/wtc492006-mst
40,Blazer,Long sleeve blazer with front open style and drawstrings fastening at waist,"Wash and medium iron inside out
Do not keep in damp state
Do not bleach and tumble dry
Dry flat and avoid direct sunlight
Dry clean, any solvent except trichloroethylene","PKR 3,690","PKR 2,590",29%,"XS,S,M,L",https://outfitters.com.pk/collections/outwear-jackets/products/wtc492006-nbl
41,Bomber Jacket,"Premium bomber jacket with zipper front, side pockets, zip pocket and stripe design on sleeve. Ribbed elastic hem, cuffs and collar","Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight","PKR 6,490","PKR 4,490",30%,"L,M,S,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtc491007nvy
42,SWEATER,,Knit,"PKR 3,990","PKR 2,790",30%,"L,M,S,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491046nvy
43,SWEATER,,Knit,"PKR 3,990","PKR 2,790",30%,"L,M,S,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491046red
44,Bomber Jacket,"Premium bomber jacket with metallic zipper front, zipped side pockets and ribbed elastic hem, cuffs and collar","Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight","PKR 6,490","PKR 4,490",30%,"L,M,S,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtp491006chr
45,STRIPES KNIT SWEATER,Navy blue long sleeves knit sweater with crew neck and stripes on sleeves,"Knit
Wash an iron inside out
Do not keep in damp state
Do not bleach
Dry flat and avoid direct sunlight","PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtp491053nvy
46,STRIPES KNIT SWEATER,Orange long sleeves knit sweater with crew neck and stripes on sleeves,"Knit
Wash an iron inside out
Do not keep in damp state
Do not bleach
Dry flat and avoid direct sunlight","PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtp491053org
47,biker jacket,"Faux leather biker jacket with pockets, metallic buckle at hem, zip fastening to one side and a contrasting hood","Polyurethane
Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight","PKR 6,990","PKR 4,890",30%,"XS,S,M,L",https://outfitters.com.pk/collections/outwear-jackets/products/wtf492015blk
48,biker jacket,"Faux leather biker jacket with pockets, metallic buckle at hem, zip fastening to one side and a contrasting hood","Polyurethane
Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight","PKR 6,990","PKR 4,890",30%,"XS,S,M,L",https://outfitters.com.pk/collections/outwear-jackets/products/wtf492015pnk
49,PATTERN PRINT JACKET,Long sleeves pattern print jacket with side zipper detail and collar,"Wash and medium iron inside out
Do not keep in damp state
Do not bleach and tumble dry
Dry flat and avoid direct sunlight
Dry clean, any solvent except trichloroethylene","PKR 6,990","PKR 3,490",50%,"XS,S,M,L",https://outfitters.com.pk/collections/outwear-jackets/products/wtf492020gry
50,PATTERN PRINT JACKET,Long sleeves pattern print jacket with side zipper detail and collar,"Wash and medium iron inside out
Do not keep in damp state
Do not bleach and tumble dry
Dry flat and avoid direct sunlight
Dry clean, any solvent except trichloroethylene","PKR 6,990","PKR 3,490",50%,"XS,S,M,L",https://outfitters.com.pk/collections/outwear-jackets/products/wtf492020red
51,Waistcoat,"Double buttoned premium waistcoat with front pockets, standing collar and belt fastening at back","Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight","PKR 4,990","PKR 3,490",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491012-blk
52,Waistcoat,"Double buttoned premium waistcoat with front pockets, standing collar and belt fastening at back","Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight","PKR 4,990","PKR 3,490",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491012-gry
