,Name,Description,Composition & Care,Old Price,New Price,Discount,Size(s),Product Link
84,Tape Side Stripe Trouser,Amp up your lowers' game with this regular slim tapered fit trouser featuring glittery stripes on the sides,"73%Tencel, 20% Cotton, 5.2% Polyester, 1.8% Lycra
Wash and medium iron inside out
Do not keep in damp state
Do not bleach and tumble dry
Dry flat and avoid direct sunlight
Dry clean, any solvent except trichloroethylene","PKR 1,990","PKR 1,390",30%,"11-12Y,13-14Y,04-05Y,05-06Y,06-07Y,07-08Y,09-10Y",https://outfitters.com.pk/collections/girls/products/jgbf496164-blk
85,Dungaree,Raise the level of your little girl's denim wearable’s with this short dungaree with fringed edges.,"45% Cotton,24% Modal, 31% Polyester
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly.
Do not bleach, Do not Tumble Dry, Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 1,690",PKR 890,47%,"12-18M,18-24M,02-03Y,03-04Y,03-06M,06-09M,09-12M",https://outfitters.com.pk/collections/girls/products/tgtp495076-mbl
86,Glitter heart Trainers,,"45% Cotton,24% Modal, 31% Polyester
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly.
Do not bleach, Do not Tumble Dry, Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 2,690","PKR 1,890",29%,"26,27,28,29,30",https://outfitters.com.pk/collections/girls/products/tgff495084-wht
87,Glitter heart Trainers,,"45% Cotton,24% Modal, 31% Polyester
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly.
Do not bleach, Do not Tumble Dry, Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 2,690","PKR 1,890",29%,"26,27,28,29,30",https://outfitters.com.pk/collections/girls/products/tgff495084-pnk
88,Leather-Look Lace Up Shoes,,"45% Cotton,24% Modal, 31% Polyester
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly.
Do not bleach, Do not Tumble Dry, Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 2,290","PKR 1,590",30%,"20,21,22,23,24,25",https://outfitters.com.pk/collections/girls/products/tgfc495081-pnk
89,Leather-Look Lace Up Shoes,,"45% Cotton,24% Modal, 31% Polyester
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly.
Do not bleach, Do not Tumble Dry, Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 2,290","PKR 1,590",30%,"20,21,22,23,24,25",https://outfitters.com.pk/collections/girls/products/tgfc495081-gry
90,SWEATSHIRT,Add a little glitter to your style with this glittery detailed sweatshirt by Outfitters featuring a crew neck with ribbed cuffs and hem.,"95% Cotton, 5% Spandex
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 1,690","PKR 1,190",29%,"11-12Y,13-14Y,04-05Y,05-06Y,06-07Y,07-08Y,09-10Y",https://outfitters.com.pk/collections/girls/products/jgtf496026-hgr
91,Croc Panel Ankle Boots,,"95% Cotton, 5% Spandex
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 3,690","PKR 2,590",29%,"31,32,33,34,35,36",https://outfitters.com.pk/collections/girls/products/jgfp496110-bur
92,Croc Panel Ankle Boots,,"95% Cotton, 5% Spandex
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 3,690","PKR 2,590",29%,"31,32,33,34,35,36",https://outfitters.com.pk/collections/girls/products/jgfp496110-blk
93,change the game SWEATSHIRT,Grab your favorite zipper sweatshirt this season,"Cotton, Polyester
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 1,390",PKR 990,28%,"12-18M,18-24M,02-03Y,03-04Y,03-06M,06-09M,09-12M",https://outfitters.com.pk/collections/girls/products/tgtf495027-mst
94,SWEATSHIRT,Style up your little girl with this 'Good Luck' themed sweatshirt featuring a crew neck with ribbed sleeves and hem,"95% Cotton, 5% Spandex
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene",PKR 890,PKR 590,33%,"12-18M,18-24M,02-03Y,03-04Y,03-06M,06-09M,09-12M",https://outfitters.com.pk/collections/girls/products/tgtf495023-jde
95,SWEATSHIRT,Style up your little girl with this 'Good Luck' themed sweatshirt featuring a crew neck with ribbed sleeves and hem,"95% Cotton, 5% Spandex
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene",PKR 890,PKR 590,33%,"12-18M,18-24M,02-03Y,03-04Y,03-06M,06-09M,09-12M",https://outfitters.com.pk/collections/girls/products/tgtf495023-hgr
96,Graphic T-shirt,Go for a casual style with this Bugs Bunny graphic t-shirt featuring a crew neck with dotted sleeves.,"95% Cotton, 5% Spandex
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene",PKR 890,PKR 590,33%,"12-18M,18-24M,02-03Y,03-04Y,03-06M,06-09M,09-12M",https://outfitters.com.pk/collections/girls/products/tgtc495019-sgn
97,Fur Lined Calf Boots,,"95% Cotton, 5% Spandex
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 3,490","PKR 2,390",31%,"26,27,28,29,30",https://outfitters.com.pk/collections/girls/products/tgfp495082-blk
98,Patent Lace Up Boots,,"95% Cotton, 5% Spandex
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 2,690","PKR 1,290",52%,"26,27,28,29,30",https://outfitters.com.pk/collections/girls/products/tgff495098-bur
99,Patent Lace Up Boots,,"95% Cotton, 5% Spandex
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 2,690","PKR 1,290",52%,"26,27,28,29,30",https://outfitters.com.pk/collections/girls/products/tgff495098-blk
100,Patent and Suedette Ballet Pumps,,"95% Cotton, 5% Spandex
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 2,290","PKR 1,590",30%,"26,27,28,29,30",https://outfitters.com.pk/collections/girls/products/tgfc495101-wht
101,Patent Ballet Pumps,,"95% Cotton, 5% Spandex
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 1,990",PKR 990,50%,"20,21,22,23,24,25",https://outfitters.com.pk/collections/girls/products/tgfc495079-pnk
102,Patent Ballet Pumps,,"95% Cotton, 5% Spandex
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 1,990",PKR 990,50%,"20,21,22,23,24,25",https://outfitters.com.pk/collections/girls/products/tgfc495079-lbg
103,Suedette Ballet Pumps,,"95% Cotton, 5% Spandex
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 1,990","PKR 1,390",30%,"20,21,22,23,24,25",https://outfitters.com.pk/collections/girls/products/tgfc495078-pnk
104,Suedette Ballet Pumps,,"95% Cotton, 5% Spandex
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 1,990","PKR 1,390",30%,"20,21,22,23,24,25",https://outfitters.com.pk/collections/girls/products/tgfc495078-nvy
105,Floral Trouser,Floral printed trouser with thick drawstrings around waist and elastic hem,"Wash and medium iron inside out
Do not keep in damp state
Do not bleach and tumble dry
Dry flat and avoid direct sunlight
Dry clean, any solvent except trichloroethylene",PKR 890,PKR 590,33%,"12-24M,02-03Y,03-04Y,03-06M,06-12M",https://outfitters.com.pk/collections/girls/products/tgbp495069-oft
106,Jersey Trouser,Go to sleep in style little girls in this super comfy French terry horizontal stripes trouser.,"Jersey
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene",PKR 590,PKR 390,33%,"12-24M,02-03Y,03-04Y,03-06M,06-12M",https://outfitters.com.pk/collections/girls/products/tgbp495064-mgn
107,Graphic T-shirt,Option for a cooler wardrobe staple for your little girl with this round neck graphic t-shirt featuring a 'wonderland' graphics on the front with sequins and beads details.,"100% Cotton
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 1,090",PKR 590,45%,"11-12Y,13-14Y,04-05Y,05-06Y,06-07Y,07-08Y,09-10Y",https://outfitters.com.pk/collections/girls/products/jgtf496049-wht
108,Patent Penny Loafers,,"100% Cotton
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 2,690","PKR 1,890",29%,"31,32,33,34,35,36",https://outfitters.com.pk/collections/girls/products/jgff496109-pnk
109,Patent Penny Loafers,,"100% Cotton
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 2,690","PKR 1,890",29%,"31,32,33,34,35,36",https://outfitters.com.pk/collections/girls/products/jgff496109-blk
110,Suedette Ballet Pumps,,"100% Cotton
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 2,490","PKR 1,190",52%,"31,32,33,34,35,36",https://outfitters.com.pk/collections/girls/products/jgfc496108-bge
111,Heart Stripe Ripped Jeans,Add a little edge to your denim game little girls with this heart stripe skinny ripped jeans.,"84% Cotton, 14.5 %Polyester, 1.5% Lycra
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly.
Do not bleach, Do not Tumble Dry, Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 1,890","PKR 1,290",31%,"11-12Y,13-14Y,04-05Y,05-06Y,06-07Y,07-08Y,09-10Y",https://outfitters.com.pk/collections/girls/products/jgbf496097-blk
112,Cotton Flowy Shirt,"Mao neckline shirt with flowy silhouette, button-up front and long sleeves","100% Cotton 
Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight","PKR 1,490",PKR 990,33%,"12-18M,18-24M,02-03Y,03-04Y,03-06M,06-09M,09-12M",https://outfitters.com.pk/collections/girls/products/tgtp495052mnr
113,Cotton Flowy Shirt,"Mao neckline shirt with flowy silhouette, button-up front and long sleeves","100% Cotton 
Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight","PKR 1,490",PKR 990,33%,"12-18M,18-24M,02-03Y,03-04Y,03-06M,06-09M,09-12M",https://outfitters.com.pk/collections/girls/products/tgtp495052bbn
114,Printed Sequin Shirt,White Shirt with a round neckline and long sleeves. Featuring penguin print on the front with reversible sequin applique,"Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichlorethyne",PKR 790,PKR 490,37%,"03-06M,06-09M,09-12M,12-18M,18-24M,02-03Y,03-04Y",https://outfitters.com.pk/collections/girls/products/tgtp495033wht
115,Printed Sequin Shirt,Orange Shirt with a round neckline and long sleeves. Featuring penguin print on the front with reversible sequin applique,"Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichlorethyne",PKR 790,PKR 490,37%,"03-06M,06-09M,09-12M,12-18M,18-24M,02-03Y,03-04Y",https://outfitters.com.pk/collections/girls/products/tgtp495033lpc
116,Checked T-Shirt Dress,,"Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichlorethyne","PKR 1,690","PKR 1,190",29%,"03-06M,06-09M,09-12M,12-18M,18-24M,02-03Y,03-04Y",https://outfitters.com.pk/collections/girls/products/tgtf495056pkw
117,Checked T-Shirt Dress,,"Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichlorethyne","PKR 1,690","PKR 1,190",29%,"03-06M,06-09M,09-12M,12-18M,18-24M,02-03Y,03-04Y",https://outfitters.com.pk/collections/girls/products/tgtf495056orb
118,Bee Happy’ Embossed Statement Shirt,"Round neck statement shirt with long sleeves, bee design, sequin and glitter details on front","100% Cotton 
Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight",PKR 690,PKR 490,28%,"12-18M,18-24M,02-03Y,03-04Y,03-06M,06-09M,09-12M",https://outfitters.com.pk/collections/girls/products/tgtf495042nvy
119,Bee Happy’ Embossed Statement Shirt,"Round neck statement shirt with long sleeves, bee design, sequin and glitter details on front","100% Cotton 
Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight",PKR 690,PKR 490,28%,"12-18M,18-24M,02-03Y,03-04Y,03-06M,06-09M,09-12M",https://outfitters.com.pk/collections/girls/products/tgtf495042mrn
120,"""Shine like the moon and stars together"" T-shirt","""Shine like the moon and stars together"" round neck t- shirt featuring full sleeves with smocked detail around the shoulders and an applique on the front.","100% Cotton
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichlorethyne",PKR 890,PKR 490,44%,"03-06M,06-09M,09-12M,12-18M,18-24M,02-03Y,03-04Y",https://outfitters.com.pk/collections/girls/products/tgtf495038yel
121,"""Shine like the moon and stars together"" T-shirt","""Shine like the moon and stars together"" round neck t- shirt featuring full sleeves with smocked detail around the shoulders and an applique on the front.","100% Cotton
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichlorethyne",PKR 890,PKR 490,44%,"03-06M,06-09M,09-12M,12-18M,18-24M,02-03Y,03-04Y",https://outfitters.com.pk/collections/girls/products/tgtf495038red
122,Be Colorful’ Statement Sweatshirt,"Crew neck sweatshirt with contrast sleeves, colorful dot design and embroidered statement","100% Cotton 
Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight",PKR 990,PKR 490,50%,"12-18M,18-24M,02-03Y,03-04Y,03-06M,06-09M,09-12M",https://outfitters.com.pk/collections/girls/products/tgtf495016pkn
123,Distressed Grey Jeans,"Elevate your girls style with this Lightly distressed light grey jeans featuring five pocket, front button closure and a front zip.","Wash inside out, use recommended detergent for colors, please line dry in shade, do  not dry with sunlight directly
 Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichlorethyne","PKR 1,490",PKR 790,46%,"12-18M,18-24M,02-03Y,03-04Y,03-06M,06-09M,09-12M",https://outfitters.com.pk/collections/girls/products/tgbp495072lgr
124,Regular fit Dark Grey Jeans,"Add a touch of flare to your outfit with this dark grey jeans featuring a leopard print stripe down the side, a front button closure and five pockets.","Wash inside out, use recommended detergent for colors, please line dry in shade, do  not dry with sunlight directly
 Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichlorethyne","PKR 1,590","PKR 1,090",31%,"12-18M,18-24M,02-03Y,03-04Y,03-06M,06-09M,09-12M",https://outfitters.com.pk/collections/girls/products/tgbf495074dgr
125,TROUSER,"Long design trouser with adjustable drawstrings around waist, elastic hem and printed design on side","60% Cotton,40% Polyester
Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight",PKR 590,PKR 390,33%,"12-24M,02-03Y,03-04Y,03-06M,06-12M",https://outfitters.com.pk/collections/girls/products/tgbc495070red
126,Large Polka Dots Shirt,"Pink and white polka dots shirt featuring a V-neck, smocked detailing around the waist and elastic cuffs. Raising Your girls style status.","Wash inside out, use recommended detergent for colors, please line dry in shade, do  not dry with sunlight directly
 Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichlorethyne","PKR 1,690","PKR 1,190",29%,"04-05Y,05-06Y,06-07Y,07-08Y,09-10Y,11-12Y,13-14Y",https://outfitters.com.pk/collections/girls/products/jgtp496078pkw
127,Large Polka Dots Shirt,"Blue and white polka dots shirt featuring a V-neck, smocked detailing around the waist and elastic cuffs. Raising Your girls style status","Wash inside out, use recommended detergent for colors, please line dry in shade, do  not dry with sunlight directly
 Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichlorethyne","PKR 1,690","PKR 1,190",29%,"04-05Y,05-06Y,06-07Y,07-08Y,09-10Y,11-12Y,13-14Y",https://outfitters.com.pk/collections/girls/products/jgtp496078bkw
128,Navy Check Jumpsuit,"Looking for a summer outfit for your little girl look no further this red check jumpsuit is made from a cotton rich blend ensuring maximum comfort and style featuring a side button closure, sleeveless and two pockets.","Wash inside out, use recommended detergent for colors, please line dry in shade, do  not dry with sunlight directly
 Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichlorethyne","PKR 2,490","PKR 1,690",32%,"11-12Y,13-14Y,04-05Y,05-06Y,06-07Y,07-08Y,09-10Y",https://outfitters.com.pk/collections/girls/products/jgtp496075nwr
129,T-SHIRT,"""It's Just Black and white"" contrasting layered t shirt, featuring a round neck and elastic cuffs.","Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichlorethyne","PKR 1,690",PKR 890,47%,"11-12Y,13-14Y,04-05Y,05-06Y,06-07Y,07-08Y,09-10Y",https://outfitters.com.pk/collections/girls/products/jgtp496050oft
130,Red Floral Buttoned Down Shirt,Elevate your little girls style with this floral print red shirt featuring a classic point collar and a full front button closure. Pair it up with your five denim or Trouser.,"Wash inside out, use recommended detergent for colors, please line dry in shade, do  not dry with sunlight directly
 Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichlorethyne","PKR 1,690",PKR 890,47%,"04-05Y,05-06Y,06-07Y,07-08Y,09-10Y,11-12Y,13-14Y",https://outfitters.com.pk/collections/girls/products/jgtf496077bwr
131,Jewel Embellished White T-shirt,Embellished White T-shirt featuring a single tear drop button opening at the back and Jewels embellished on the front.,"Wash inside out, use recommended detergent for colors, please line dry in shade, do  not dry with sunlight directly
 Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichlorethyne","PKR 1,890",PKR 990,47%,"04-05Y,05-06Y,06-07Y,07-08Y,09-10Y,11-12Y,13-14Y",https://outfitters.com.pk/collections/girls/products/jgtf496073wht
132,Black Smock Detailed Dress Shirt,Black Dress Shirt featuring a round neckline with smock detailing on the shoulders and a curved hem line. You can pair it up with your five denim or trouser making it one of the essential for your little girl's wardrobe.,"Wash inside out, use recommended detergent for colors, please line dry in shade, do  not dry with sunlight directly
 Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichlorethyne","PKR 1,490",PKR 990,33%,"11-12Y,13-14Y,04-05Y,05-06Y,06-07Y,07-08Y,09-10Y",https://outfitters.com.pk/collections/girls/products/jgtf496062blk
